study_version,item_id,topic_id,topic,condition_code,pipeline_family,freek_style,text,model,result_sha256
acl-1,T03-E1,T03,"Religie, kerk en geloof",E1,validated_gtvh,none,Aan het eind van het gebed zingt het koor plechtig: „amen”. De accountant in de kerkbank vraagt: „Geldt dit nu als akkoord?”,gpt-5.6-terra,d037838d3114d7c6edec593e284366b99cf510699dc1bf8fe579dc5f1a5ba85b
acl-1,T03-E2,T03,"Religie, kerk en geloof",E2,validated_gtvh,freek,Geloof belooft bij de grote vragen tenminste een antwoord. Maar de hemel neemt niet op: na de piep kunt u uw hoop inspreken op de voicemail.,gpt-5.6-terra,e8d5cbc7182159666f1dc67a888d3e17c69b881d87109a673fbe64172d2bfaa5
acl-1,T04-A1,T04,Nederlandse politiek en bestuur,A1,baseline,none,In Den Haag noemen ze een beleidsomslag ‘voortschrijdend inzicht’. Handig: dan hoeft niemand toe te geven dat de routekaart ondersteboven lag.,gpt-5.6-terra,8150d203f688e719f4315528712580f7480259130e365fcd5d777d008ca7bbdc
acl-1,T04-A2,T04,Nederlandse politiek en bestuur,A2,baseline,freek,"In Den Haag noemen ze het een bestuurscrisis. Dat klinkt ernstig, maar het betekent gewoon dat iedereen tegelijk verantwoordelijkheid neemt voor het feit dat niemand verantwoordelijk wil zijn. En dan valt het kabinet niet: het gaat in demissionaire stand-by. De enige vorm van bestuur waarin stilstand eindelijk als ervaring telt.",gpt-5.6-terra,0e94b31a5f7dd2ea760a388e0439e69ef9ff790982acc684bfb4be6cc332dc42
acl-1,T04-C1,T04,Nederlandse politiek en bestuur,C1,script_opposition,none,"In Nederland vertrouwen we erop dat elk probleem netjes via overleg wordt opgelost. Daarom zetten we er eerst een commissie op, zodat het goed bewaard blijft voor volgende generaties.",gpt-5.6-terra,e6833d81bcf47434919750c40fb1498889cb812d9eaef1068680e599ec48cdf4
acl-1,T04-C2,T04,Nederlandse politiek en bestuur,C2,script_opposition,freek,De regering luistert altijd naar de kiezer. Daarna legt zij democratisch uit wat die eigenlijk bedoeld had — en dient de kiezer bezwaar in tegen zichzelf.,gpt-5.6-terra,a1b29410e9c797eadb5901e69b2c21aa78c7ff15f5cd334459b27621a551988b
acl-1,T04-E1,T04,Nederlandse politiek en bestuur,E1,validated_gtvh,none,In het Kamerdebat legt de verantwoordelijke minister keurig verantwoording af voor het mislukte beleid. Hij blijkt vooral verantwoordelijk voor de doorverwijzing.,gpt-5.6-terra,618d4336c463f294af50b28f3ef3f452b073d22fa0a9789a5c788078e152aa29
acl-1,T04-E2,T04,Nederlandse politiek en bestuur,E2,validated_gtvh,freek,"De minister meldt trots dat de uitvoerbaarheidstoets positief is. Het beleid kan worden uitgevoerd, mits niemand het probeert.",gpt-5.6-terra,e6b1725950905192399ec78938a148b9eb644f82c0d93be5066c2ee7980c01d0
acl-1,T05-A1,T05,"Oorlog, vrede en geweld",A1,baseline,none,De minister noemde de nieuwe raketten “vredesduiven”. Alleen vreemd dat ze pas landen nadat iedereen is weggevlucht.,gpt-5.6-terra,c83c025c3291dc28df49f9eaad9e12289c71a61b8efc1df78d8008926438907b
acl-1,T05-A2,T05,"Oorlog, vrede en geweld",A2,baseline,freek,"We willen vrede, zeggen we, en we leveren wapens om dat gesprek op gang te brengen. Diplomatie met een magazijn: eerst de argumenten leegschieten, dan kijken wie er nog naar vrede wil luisteren.",gpt-5.6-terra,948d7c8a11927aa7e8d225e33734e259bbcc8e07560ddee999a198bf277b233a
acl-1,T05-C1,T05,"Oorlog, vrede en geweld",C1,script_opposition,none,"Na elke oorlog zegt iedereen dat vrede het belangrijkste is. Bij Risk ook, zodra iemand begint te winnen.",gpt-5.6-terra,d58aa2c3c0c9ee0a5ede36867cd621986f6f79ecaa6eccc0109ebd7361a9a563
acl-1,T05-C2,T05,"Oorlog, vrede en geweld",C2,script_opposition,freek,"In vredestijd werkt de diplomatie op volle kracht: formulieren invullen, verdragen tekenen, vijanden alvast alfabetisch rangschikken.",gpt-5.6-terra,12dec91fb3781cb2dbe5207b779178842076a2499cf0076bfd42e0836fb5243a
acl-1,T05-E1,T05,"Oorlog, vrede en geweld",E1,validated_gtvh,none,"De koning zei tegen zijn soldaten: „De oorlog is beëindigd.” Ze juichten, tot hij toevoegde: „Vanaf morgen heet hij langdurige veiligheidsoperatie.”",gpt-5.6-terra,492a87519348c5bd2d6abed2b511a5b05b939577ffc75f627bab4bed1b5f822c
acl-1,T05-E2,T05,"Oorlog, vrede en geweld",E2,validated_gtvh,freek,"De premier zei dat hij bij deze militaire actie persoonlijk verantwoordelijkheid zou nemen en las het besluit zelf voor. De bevolking nam, zoals gebruikelijk, de gevolgen.",gpt-5.6-terra,f4944f02e48b2b566e5374298c35bd781bceefa83adc3487917d0080a04ab1b8
acl-1,T06-A1,T06,Ouder worden en sterfelijkheid,A1,baseline,none,Mijn huisarts zegt dat ik meer aan de toekomst moet denken. Dus ik heb alvast een urn uitgezocht met gratis verzending.,gpt-5.6-terra,72c87897e9c55564c870dd82c9d33906a6fdc92a082aeba3bf870b2a1f2dfc76
acl-1,T06-A2,T06,Ouder worden en sterfelijkheid,A2,baseline,freek,"Ouder worden is prachtig: eindelijk krijg je rust. Iedereen laat je met rust, want ze denken dat je iets mankeert als je na acht uur nog wakker bent. En sterfelijkheid relativeert alles: vroeger wilde ik een spoor nalaten. Nu ben ik al blij als de huisarts mijn dossier niet kwijtraakt.",gpt-5.6-terra,7bb05d81e032afa254d36009679cbb5ff8a84faf9ac15a8e72f0d8116bfafb74
acl-1,T06-C1,T06,Ouder worden en sterfelijkheid,C1,script_opposition,none,Ouder worden heeft ook voordelen: eindelijk weet je waar alle knopjes voor dienen. Alleen blijkt het apparaat dan al op de uitknop te staan.,gpt-5.6-terra,521f6e996db44993abb5d00056c4f076135fddf8653d8ff40df52750fb6169b9
acl-1,T06-C2,T06,Ouder worden en sterfelijkheid,C2,script_opposition,freek,Ik voel me nog dezelfde als toen ik twintig was. Alleen mijn knieën hebben mijn dossier opgevraagd en adviseren tegen verdere beweging.,gpt-5.6-terra,8c294ca37056c60fc91a8721264716f2e01816092876861e77702705618ae560
acl-1,T06-E1,T06,Ouder worden en sterfelijkheid,E1,validated_gtvh,none,"Op mijn leeftijd ga ik langzamer lopen, dus ik dacht dat de dood me eerder zou bijhalen. Alleen loopt hij zelf ook langzamer dan vroeger.",gpt-5.6-terra,904924866555dff06d4615595d54cdb492a2aeb451df763a0dbe1756dfce2a85
acl-1,T06-E2,T06,Ouder worden en sterfelijkheid,E2,validated_gtvh,freek,"Vergrijzing noemen we een gezamenlijke verantwoordelijkheid; dat klinkt warmer dan een lichaam dat het begeeft. Gezamenlijk betekent: wij slapen, zij heeft de nachtdienst.",gpt-5.6-terra,96c1a3a53c38b6d8df8e4c91127aad3b6d82a0efda398f32834b80c1b536f81d
acl-1,T07-A1,T07,"Gezondheid, ziekte en zorg",A1,baseline,none,"Bij de huisarts zei ik: ""Dokter, ik voel me zo onzichtbaar."" Hij keek niet op van zijn scherm en zei: ""Volgende patiënt.""",gpt-5.6-terra,62b0aed871ef6461f68f40697e9f81b0fa431be9e1e7be0d813cdf17c2bcb0a4
acl-1,T07-A2,T07,"Gezondheid, ziekte en zorg",A2,baseline,freek,"De zorg wordt steeds efficiënter. Vroeger zei de dokter: „U moet het rustiger aan doen.” Nu zegt de verzekeraar dat al voordat je ziek bent. Preventie heet dat: geen behandeling vergoeden, dan krijgt niemand last van bijwerkingen.",gpt-5.6-terra,15df7a03bfffbedfe71c1e48ad7f2337a6a79d56231a6ab03b9ff384c516d59d
acl-1,T07-C1,T07,"Gezondheid, ziekte en zorg",C1,script_opposition,none,Je gaat naar de huisarts om beter te worden. Na drie onderzoeken en een verwijsbrief ben je vooral officieel ziek.,gpt-5.6-terra,278ee0e267c2163a885e399a060f8d4920fafe8092040e255be9660e575f4ec8
acl-1,T07-C2,T07,"Gezondheid, ziekte en zorg",C2,script_opposition,freek,In de zorg zeggen ze: „Uw gezondheid staat voorop.” Gelukkig maar. Mijn dossier was te ongezond om ziek te mogen zijn.,gpt-5.6-terra,c69971031821895dc3911cca0ef5ef338c02aaa631a16ccd104cecdf402e8968
acl-1,T07-E1,T07,"Gezondheid, ziekte en zorg",E1,validated_gtvh,none,De huisarts zegt: „Uw positieve uitslag is binnen.” De patiënt juicht. De huisarts knikt: „Dat doet u opvallend vaak bij een coronatest.”,gpt-5.6-terra,d1200007096565d6ce1642544fc26109da43dce8f1bd4280739eefcdf1691833
acl-1,T07-E2,T07,"Gezondheid, ziekte en zorg",E2,validated_gtvh,freek,Bij de digitale intake vragen ze vriendelijk: „Wat mankeert u?” Dat hangt ervan af hoeveel van u in de zorg past: drie vakjes.,gpt-5.6-terra,47b945403055710e338e0ac1a1d9910e14148f3cb27558285501c00b0ba617ca
acl-1,T08-A1,T08,"Liefde, huwelijk en seksualiteit",A1,baseline,none,"Mijn vrouw zei dat ons huwelijk meer spanning nodig had. Dus ik vertelde haar dat ik een tweede hypotheek had afgesloten. Sindsdien slapen we weer apart, maar wel met hartstocht.",gpt-5.6-terra,fc89cb1835feb7a4cf7b1904dd945576a0da9913058ce5bd931631752bfa0a69
acl-1,T08-A2,T08,"Liefde, huwelijk en seksualiteit",A2,baseline,freek,"Het huwelijk is prachtig geregeld: je belooft elkaar eeuwige trouw, en krijgt daarvoor een gezamenlijke agenda. De romantiek sterft niet, hoor — die wordt alleen administratief verwerkt.",gpt-5.6-terra,0203e9d9d2eec3af23f68981a2b58fa9024615ac7b71f70e0381624b5b2cf417
acl-1,T08-C1,T08,"Liefde, huwelijk en seksualiteit",C1,script_opposition,none,Bij de trouwbelofte zei de ambtenaar: „In goede en slechte tijden.” Daarna vroeg hij of we akkoord gingen met de algemene voorwaarden.,gpt-5.6-terra,04074659e5e7710c502f3e0ca51357ddccf86340fe1cd1e9848ac2b494455a20
acl-1,T08-C2,T08,"Liefde, huwelijk en seksualiteit",C2,script_opposition,freek,Seks is de meest vrijwillige daad tussen twee geliefden. Daarom vragen ze elkaar daarna: zullen we trouwen? Dat is Nederlands voor: zullen we doen alsof dit beleid was?,gpt-5.6-terra,8ba986cafb94a49fd46065f358cd9a3a15d4c21180bf93858586e89d0df30485
acl-1,T08-E1,T08,"Liefde, huwelijk en seksualiteit",E1,validated_gtvh,none,Sinds relatietherapie luisteren ze eindelijk beter. Allebei naar hun advocaat.,gpt-5.6-terra,b626524e1e3eeb51554b3359eba8718137d56f0f23323f929db0fb7cac63602d
acl-1,T08-E2,T08,"Liefde, huwelijk en seksualiteit",E2,validated_gtvh,freek,"Mijn vrouw en ik investeren elke maand trouw in onze toekomst. De liefde mag op, maar de hypotheek loopt nog dertig jaar.",gpt-5.6-terra,d59127e0b23c282b8875057eca78f0a3c8b41248d6752472fe5b03cf42a53941
acl-1,T09-A1,T09,Nederlandse identiteit en volksaard,A1,baseline,none,"Nederlanders zeggen dat ze van vrijheid houden, zolang iedereen zich maar aan de regels houdt die ze zelf net hebben verzonnen.",gpt-5.6-terra,ccd2a341ffdae9b8879afd415b624b8630a9fb47499f5f82ec94ace8fcdb5726
acl-1,T09-A2,T09,Nederlandse identiteit en volksaard,A2,baseline,freek,"Nederlandse identiteit is dat we zeggen: „Doe maar normaal.” Niet uit bescheidenheid, nee — omdat we pas echt boos worden als iemand normaal doet zonder eerst toestemming te vragen.",gpt-5.6-terra,32f1c734cd24d00b5d436f87eeebb04e835f36416cfd70e44dfc4c5de10adc48
acl-1,T09-C1,T09,Nederlandse identiteit en volksaard,C1,script_opposition,none,Nederlanders zijn heerlijk direct: iedereen mag zichzelf zijn. Zolang iedereen maar normaal doet.,gpt-5.6-terra,ed1534da5b0165677710f90e755e3cd2129d3fd7bb6c0d435114801c310d036a
acl-1,T09-C2,T09,Nederlandse identiteit en volksaard,C2,script_opposition,freek,"Nederlanders zijn terecht trots op hun vrijheid. Iedereen mag hier zichzelf zijn, zolang de buurtapp eerst heeft vastgesteld dat het geen overlast geeft.",gpt-5.6-terra,84ca70456a65375754344c2772a5c97c7a6f18c094e9aa96144c1a3867395a2e
acl-1,T09-E1,T09,Nederlandse identiteit en volksaard,E1,validated_gtvh,none,"Op de buurtavond legde de voorzitter uit: „Doe maar normaal”, dan is iedereen gelijk. Dus gewoon zoals wij gisteren hebben afgesproken.",gpt-5.6-terra,9ad6d52884c7fd9d3550602f3cd42c8c60b0680a6a54c1d60fdc6c4a89fd8208
acl-1,T09-E2,T09,Nederlandse identiteit en volksaard,E2,validated_gtvh,freek,Nederlanders houden niet van poeha; daarom zeggen we tegen wie opvalt: ‘Doe maar gewoon’. Wij zijn te bescheiden om ons beter te voelen—dus verbieden we uw verheffing.,gpt-5.6-terra,b5e2eb0d6ee9c6958c9d3e1e9c124d065c0b871324b039919222ea7559569478
acl-1,T10-A1,T10,"Werk, geld en economie",A1,baseline,none,"Mijn baas zei dat we allemaal in hetzelfde schuitje zitten. Klopt: hij roeit, wij betalen de huur van de boot.",gpt-5.6-terra,d12250c86ba500643ff4976b90be4a407686c8a65e43328aebe732b46ea77346
acl-1,T10-A2,T10,"Werk, geld en economie",A2,baseline,freek,"De minister zegt dat iedereen moet bijdragen aan de economie. Dat doen we al: de werknemer met arbeid, de ondernemer met subsidie en de bank met een rekeningnummer. Alleen de werknemer krijgt aan het eind van de maand een loonstrookje waarop staat wat hij heeft bijgedragen aan de winst van anderen. Dat heet transparantie: je kunt er dwars doorheen kijken.",gpt-5.6-terra,76d448efe28445dc381a201ac9c2d5c241114e146db589640e2842582784480e
acl-1,T10-C1,T10,"Werk, geld en economie",C1,script_opposition,none,Mijn werkgever zegt dat hard werken financiële zekerheid geeft. Klopt: hij weet dan zeker dat ík morgen weer kom.,gpt-5.6-terra,d49b577b15c84a3e60532720034716d45649d9df67a8a06f77a1ed995ca66772
acl-1,T10-C2,T10,"Werk, geld en economie",C2,script_opposition,freek,Mijn loonstrookje zegt dat ik zelfstandig ben. Dat is het mooie van zelfstandigheid: je mag helemaal zelf beslissen welke acht uur per dag niet van jou zijn.,gpt-5.6-terra,d39f4f4eebab399275be026d43bca872712baf10258811f298495539ffcc7e99
acl-1,T10-E1,T10,"Werk, geld en economie",E1,validated_gtvh,none,"Mijn baas zei dat inzet wordt beloond, vooral na overuren. Dus kreeg ik een grotere mok, zodat ik langer koffie kon drinken.",gpt-5.6-terra,2b143d1783b02704f5b2f3bdc86f1d8b91a44ad142bf1d08d4cb1b64f0525b08
acl-1,T10-E2,T10,"Werk, geld en economie",E2,validated_gtvh,freek,"Ik bewaar de loonstrook netjes: je wilt toch kunnen aantonen dat je een maand lang iets hebt bijgedragen. Vooral aan huur, energie, belasting en premies; daarna mag ik weer meedoen tegen de toegangsprijs.",gpt-5.6-terra,65cf23b393229c6bfee5783747647c5604dcd1e8c101c44f00cac07ed059ab69
acl-1,T11-A1,T11,"Media, technologie en mobiele telefoons",A1,baseline,none,"Mijn telefoon zegt dat ik gemiddeld vijf uur per dag op sociale media zit. Gelukkig is hij slim genoeg om dat alleen tegen mij te zeggen, anders had ik geen vrienden meer over om te negeren.",gpt-5.6-terra,1d313ce4092325ecaa1edecafe26045eb89da79aa33c9e9588553e5ae1d41f66
acl-1,T11-A2,T11,"Media, technologie en mobiele telefoons",A2,baseline,freek,"Mijn telefoon zei gisteren dat mijn schermtijd omhoog moest. Dat is toch mooi: eerst maken ze een apparaat dat je aandacht opeet, en daarna geeft het apparaat je een rapportje over de vermissing. Vroeger had je een geweten. Nu krijg je een pushmelding: ‘U bent vandaag 43 minuten minder mens geweest dan gisteren.’",gpt-5.6-terra,b4e02cb6f6a1e22209de9c725a0aa44eb6cd02c2400fccbdf20eb723de870ea0
acl-1,T11-C1,T11,"Media, technologie en mobiele telefoons",C1,script_opposition,none,We gingen uit eten om bij te praten. Gelukkig hadden we allebei genoeg bereik om elkaar te negeren.,gpt-5.6-terra,41bca43dce091957fed8255e1b26b962ea65e9f05f51963787cd4628f1259add
acl-1,T11-C2,T11,"Media, technologie en mobiele telefoons",C2,script_opposition,freek,Vroeger belde je de bank als er iets mis was. Nu stuurt de bank een app die zegt: ‘Wij maken het u graag gemakkelijk.’ Daarna moet je een code invullen die alleen op je oude telefoon binnenkomt. Veiligheid is blijkbaar vooral: de klant buiten houden.,gpt-5.6-terra,cca58ec94e9aff2992db480420ec031c2e42f47a4e0f69abc86c782f5dcb423e
acl-1,T11-E1,T11,"Media, technologie en mobiele telefoons",E1,validated_gtvh,none,"Dankzij mijn telefoon heb ik overal toegang tot precies wat ik nodig heb. En alles wat ik niet nodig heb, heeft toegang tot mijn aandacht.",gpt-5.6-terra,735cef7f9e52c23150d4ad3749962b802e2658be430e8e58755cb54cab2238b1
acl-1,T11-E2,T11,"Media, technologie en mobiele telefoons",E2,validated_gtvh,freek,"De smartphone is een prachtig hulpmiddel: je bent bereikbaar voor je familie, je werk en, als het moet, de hulpdiensten. Alleen blijkt ‘bereikbaar’ te betekenen dat zelfs een schoenenwinkel je om 22.43 uur als reservist kan inzetten: oproepbaar.",gpt-5.6-terra,e223b1fbb73e5f72ff4f0e854289209d9fd12ce0909c6afe76a634cebd9ec759
acl-1,T12-A1,T12,"Kunst, theater en cabaret",A1,baseline,none,In het theater zei de regisseur: “We zoeken meer stilte in de voorstelling.” Dus heeft de acteur zijn tekst geleerd bij de belastingdienst.,gpt-5.6-terra,fa6ff8d2c89b0587d064227b6af396db36ecd57dd59406da35ea5378cf0ae8bc
acl-1,T12-A2,T12,"Kunst, theater en cabaret",A2,baseline,freek,"In het theater heet de bezuiniging tegenwoordig ‘publieksvernieuwing’. Eerst verdwijnt het decor, dan het orkest, dan de subsidie. En als er uiteindelijk één acteur in een tl-licht zijn jeugdtrauma staat te fluisteren, zegt de wethouder: ‘Kijk, eindelijk kunst zonder ballast.’ Ja. Zonder ballast. Ook zonder schip, maar dat maakt niet uit: we zijn toch al gezonken.",gpt-5.6-terra,c8ad6f8d15a71db75f6f75331b04eb3c0d79062f92d027436390fe43582dfd7f
acl-1,T12-C1,T12,"Kunst, theater en cabaret",C1,script_opposition,none,"Een goede voorstelling vermaakt én raakt je. Vooral aan je onderrug, na twee uur cultureel verantwoord zitten.",gpt-5.6-terra,64de9ea7137c7edcb2a26dbbad0c71a46b072a468e43bb805175598d32fa8000
acl-1,T12-C2,T12,"Kunst, theater en cabaret",C2,script_opposition,freek,Ik hou van cabaret: eindelijk iemand die de macht de waarheid zegt. En na afloop hangt die waarheid keurig aan een haakje bij de garderobe.,gpt-5.6-terra,bdc2dd2d153ba33652414e3523a8cc8e497795dcfd0e6c01edc51cf7259068bf
acl-1,T12-E1,T12,"Kunst, theater en cabaret",E1,validated_gtvh,none,Bij het slotapplaus van mijn toneelstuk stond iedereen te klappen. Ik boog nog eens extra diep. De suppoost fluisterde: „Niet voor u; ze proberen een mot weg te jagen.”,gpt-5.6-terra,2573ac02642f56365d554f4e4ccd3396c6ca40b1a6f28e454d32a6cd3612be6c
acl-1,T12-E2,T12,"Kunst, theater en cabaret",E2,validated_gtvh,freek,"De overheid geeft cabaret vrije ruimte, zodat het de macht ongehinderd kan bekritiseren. Mits de kritiek vooraf past in het invulvak.",gpt-5.6-terra,a4b91f97fc0460d1c1329ea3285663ad9068d462abc3350e9710385c134b4205
acl-1,T13-A1,T13,Migratie en de multiculturele samenleving,A1,baseline,none,"De multiculturele samenleving is als een buffet: iedereen neemt iets mee, maar uiteindelijk vraagt toch iemand waar de frikandel ligt.",gpt-5.6-terra,76e347e6a68980524778f8d6c1b74ce83a551ec8a2df47df62317bd85926de91
acl-1,T13-A2,T13,Migratie en de multiculturele samenleving,A2,baseline,freek,"De overheid zegt dat iedereen die hier komt zich moet aanpassen aan onze normen en waarden. Prima. Alleen: zodra iemand dat doet en een woning, werk en een mening wil, noemen we het ineens ‘integratieproblematiek’. Blijkbaar is de multiculturele samenleving pas geslaagd als iedereen zich onzichtbaar thuis voelt.",gpt-5.6-terra,3bc0ff0f157060edfea8ebde74432be38fb542b64e881fe69cd494f71a96ef51
acl-1,T13-C1,T13,Migratie en de multiculturele samenleving,C1,script_opposition,none,"Samenleven is eigenlijk heel eenvoudig: je woont naast elkaar, respecteert elkaars cultuur en doet vooral nooit open.",gpt-5.6-terra,b792dd2d0ea1a792ef83483d4914d9548d546436552324f4b4d2b2b02f2f275d
acl-1,T13-C2,T13,Migratie en de multiculturele samenleving,C2,script_opposition,freek,"We wilden dat nieuwkomers zouden meedoen. Nou, dat doen ze: ze wachten mee op een besluit, een huis en een bestuurder die verantwoordelijkheid vervoegt. Volledig geïntegreerd in het loket.",gpt-5.6-terra,149decd35f114862c07e71ce6c115c8e678c826144078598f70d057ef0a783d5
acl-1,T13-E1,T13,Migratie en de multiculturele samenleving,E1,validated_gtvh,none,De taalcursus is bedoeld zodat nieuwkomers makkelijker kunnen meepraten. Eerst leren ze vooral zwijgen tot hun accent Nederlands genoeg klinkt.,gpt-5.6-terra,fcea09779370d19cc1a65ff1afb9d6cbf0420e9e0266050b591cf34584a96414
acl-1,T13-E2,T13,Migratie en de multiculturele samenleving,E2,validated_gtvh,freek,"In Nederland vragen we wederzijds respect: zij respecteren onze cultuur, wij respecteren dat zij zich aanpassen. Dat heet geen samenleven, maar een welkomstcomité met één stoel: welkom.",gpt-5.6-terra,4a2a0064dfb5d21189ce70a3b5a33588d64f2fd1c38a88f86c5e99900ae53f9b
acl-1,T14-A1,T14,"Klimaat, milieu en natuur",A1,baseline,none,"Ik probeer groener te leven: ik douche korter, vlieg minder en scheid mijn afval. Alleen mijn zorgen over het klimaat gooi ik nog steeds bij het restafval.",gpt-5.6-terra,a532d45f8ba601736c19f15c1082947c90cf9242cd5bc88d474beffc2a642032
acl-1,T14-A2,T14,"Klimaat, milieu en natuur",A2,baseline,freek,"De regering zegt dat we klimaatneutraal moeten worden. Prachtig. Eerst maken we de natuur onleefbaar, en daarna spreken we af dat niemand daar nog een mening over mag uitstoten.",gpt-5.6-terra,92b3ca8bdd91078abfc5e2d65657091b068008296fad5b2b34af89214612f7cc
